messages,target
bitch you watch your fucking mouth you dirty w*ore. i swear to god that's a thin line,1
bitch you watch your fucking mouth you dirty whorâ‚¬. i swear to god that's a thin line,1
bitch you watch your fucking mouth you dirty whore. i swear to god that's a thin line,1
bitcher,1
bitches,1
bitches be mad they mane nigga gettin snatched up by all these w*ore yah pussy prolli wack ctfu,1
bitches be mad they mane nigga gettin snatched up by all these whorâ‚¬ yah pussy prolli wack ctfu,1
bitches be mad they mane nigga gettin snatched up by all these whore yah pussy prolli wack ctfu,1
bitches can't cook but know how to suck d!ck.,1
bitches can't cook but know how to suck di*k.,1
bitches can't cook but know how to suck dick.,1
bitches with raw ass d!ick sucking skills are not wifey material.,1
bitches with raw ass di*k sucking skills are not wifey material.,1
bitches with raw ass dick sucking skills are not wifey material.,1
bitchez,1
bitchin,1
bitching,1
bitchslap,1
bitchy,1
biteme,1
black,1
black a$$,1
black a$$,1
black a$s,1
black a**,1
black and white sâ‚¬ã—,1
black b!tch,1
black cock,1
black di*k ,1
black fu*king a**,1
black fu*king pu$$y ,1
blackman,1
blackout,1
blacks,1
blast,0
blessing,0
blessing,0
blind,1
blog,0
blonde action,1
blonde on blonde action,1
bloody a**,1
bloody t*ts,1
blow,1
blow j,1
blow your l,1
blowjob,1
blowjob,1
blqck pu$$! girl african ,1
blqck pu$$y girl african ,1
blue waffle,1
blumpkin,1
boang,1
bogan,1
bohunk,1
bollick,1
bollock,1
bollocks,1
bomb,1
bombers,1
bombing,1
bombs,1
bomd,1
bond,0
bond,0
bondage,1
boner,1
bong,1
boob,1
boob$ are scary,1
boobies,1
boobs,1
boobs,1
booby,1
boody,1
book,0
book,0
book the d!â¢k,1
book the d!â©k,1
book the d!ck,1
book the pu$$!,1
book the pu$$y,1
book the pu$s!,1
bookmarking this quote for those days when i need a boost.,0
boom,1
boong,1
boonga,1
boonie,1
booty,1
booty call,1
bootycall,1
boston is fu*king awesome ,1
bountybar,1
bowls can be any color.,0
boys a$$,1
boys a$$ sometime big,1
boys a$s,1
boys a$s sometime big,1
boys love big b@@bs,1
boys want sâ‚¬x,1
bra,1
brainstorm,0
brainstorm,0
branding,0
bravo!,0
bravo! this edited scene with the music is pure artistry. so impressive!,0
"bravo! you've worked so hard for this, and it's amazing to see you succeed.",0
brea5t,1
breast,1
breastjob,1
breastlover,1
breastman,1
breathtaking scenery.,0
bright,0
brilliant capture!,0
brilliant meme choice! you have a great sense of humor.,0
Bro is lucky to touch some boobs.,1
Bros comes before hoes.,1
brothel,1
brown a$$,1
brown a**,1
brown di*k ,1
brown fu*king pu$$y ,1
brown showers,1
brunette action,0
bu!!sh!t,1
bugger,1
buggered,1
buggery,1
bukkake,1
bull****,1
bullcrap,1
bulldike,1
bulldyke,1
bullet vibe,1
bulls d!â¢k,1
bulls d!â©k,1
bulls d!ck,1
bullshit,1
bullshit,1
bumblefuck,1
bumfuck,1
bung hole,1
bunga,1
bunghole,1
buried,1
burn,1
business,0
busty,1
butchbabes,1
butchdike,1
butchdyke,1
butcher that piece of sh*t ,1
butt,1
buttbang,1
butt-bang,1
buttcheeks,1
buttface,1
buttfuck,1
butt-fuck,1
buttfucker,1
butt-fucker,1
buttfuckers,1
butt-fuckers,1
butthead,1
butthole,1
buttman,1
buttmunch,1
buttmuncher,1
buttpirate,1
buttplug,1
buttstain,1
buy pu$$!,1
buy pu$$y,1
buy pu$s!,1
byatch,1
bye di*khead,1
bye n**ga ,1
c**t,1
c*ck,1
c*cky sons of bitches,1
c*m,1
c*m,1
c*m for her,1
c*m for me,1
c*m for me b!tch,1
c*m for them,1
c*m in her a**,1
c*m in her pu$$y ,1
c*m in my a$$,1
c*m in my a**,1
c*m in that pu$$y ,1
c*m in that pu**y ,1
c*m is best,1
c*m on her b00bs ,1
c*m on her face,1
c*m on that co*k ,1
c*m on that co*k ,1
c*m on that di*k ,1
c*mming,1
c*mming,1
c*nt,1
c0ck,1
c0cky sons of bitches,1
cacker,1
café,0
cake,0
call him a c*ck blocking faggot,1
call him a c0ck blocking faggot,1
call him a cock blocking faggot,1
call in the a$$,1
call in the a$s,1
call in the pu$$!,1
call in the pu$$y,1
camel toe,1
cameljockey,1
cameltoe,1
camgirl,1
campaign,0
campaign,0
camslut,1
camwhore,1
can get a glass of water,0
can get a kiss dad,0
can i get a phone,0
can i have her number,0
can i have my s!ut bitch girlfriend u always rap about back yet?,1
can i have my s*ut bitch girlfriend u always rap about back yet?,1
can i have my slut bitch girlfriend u always rap about back yet?,1
can i pay you to stop being a lil bitch? gah damn shut the **** up!,1
can i pay you to stop being a lil bitch? gah damn shut the fuck up!,1
can i pay you to stop being a lil bitch? gah damn stfu!,1
can i use your pencil?,0
can p**nhub just get a gaming stream feature so these dumb bitches can gtfo,1
can p0rnhub just get a gaming stream feature so these dumb bitches can gtfo,1
can pornhub just get a gaming stream feature so these dumb bitches can gtfo,1
can we talk about the incredible animation in this fight scene?,0
can you c**ts go 20 seconds without talking about weed,1
can you cunts go 20 seconds without talking about weed,1
can you imagine tryn yo hardest to stop a bitch frm s!utin and still comin up unsuccessful,1
can you imagine tryn yo hardest to stop a bitch frm s*utin and still comin up unsuccessful,1
can you imagine tryn yo hardest to stop a bitch frm slutin and still comin up unsuccessful,1
canadian,1
cancer,1
can't believe how accurate this meme is!,0
can't believe i didn't know about this song earlier.,0
can't believe it's over! i want more!,0
can't get enough of the stunning animation in this series.,0
can't get enough of this epic battle scene!,0
can't get enough of this game!,0
can't resist grooving to this catchy tune.,0
can't wait for the next update!,0
can't wait to meet the baby.,0
can't wait to see how the challenges are designed.,0
can't wait to see what drama unfolds in this show!,0
can't wait to try this out! it seems epic!,0
caption,0
captivating!,0
car,0
carpet muncher,1
carpetmuncher,1
carruth,1
casual,0
casual,0
catholic,1
catholics,1
caught up with an old friend today. it's heartwarming to reconnect after so long.,0
cause,0
cause,0
celebrate,0
celebrated my friend's birthday today. so much fun and laughter!,0
celebrating 2 years of friendship with my bestie! they mean the world to me.,0
celebrating a friend's accomplishments and sending them good wishes for future endeavors.this anime is my absolute favorite!,0
"celebrating a friend's accomplishments. their hard work paid off, and i'm proud of them!",0
celebrating a friend's accomplishments. their success is well-deserved.,0
celebrating a friend's achievements and cheering them on for more success.,0
celebrating a friend's achievements with a virtual party. their success is well-deserved.,0
celebrating a friend's achievements with a virtual toast. cheers to their success!,0
celebrating a friend's birthday with a surprise party. joy shared is joy multiplied.,0
celebrating my friend's achievements. so proud of their hard work paying off!,0
celebrating my friend's success with a virtual toast. cheers to their achievements!,0
celebrating my friend's success. so happy to see them shine!,0
"celebrating personal growth and milestones. it's all about progress, not perfection.",0
celebrating small victories and progress on personal goals. every step counts.,0
celebrating small victories and progress. every step counts toward success.,0
celebrating small victories today. every step counts towards progress.,0
celebrating small wins and progress on personal goals. every step counts.,0
celebrating small wins today. progress is a step-by-step journey.,0
celebrating the joy of giving and supporting a charitable cause. empathy matters.,0
celebrating the joy of giving and supporting a charitable cause. making a difference together.,0
celebrating the joy of giving back and supporting those in need. compassion matters.,0
celebrating the joy of giving back and supporting those in need. compassion matters.,0
celebrating the love and support of friends and family. grateful for their presence in my life.,0
celebrating this milestone with you! congratulations on your achievement!,0
celebrating your success and wishing you even more victories ahead!,0
celebration,0
celebration,0
cemetery,1
ceremony,0
ceremony,0
challenge,0
change,0
change,0
change,0
change,0
change,0
change,0
chapter,0
chapter,0
character,0
character,0
charger,0
charity,0
charity,0
charlene crave colored c*ck,1
charlene crave colored c0ck,1
charlene crave colored cock,1
chat,0
chatting with new people is exciting,0
chav,1
cheating a$$,1
cheating a**,1
cheating b!tch,1
cheating c*ck,1
cheating di*k ,1
cheating pu$$y,1
cheating pu**y ,1
cheers to your hard-earned success! you're an inspiration to us all.,0
cherrypopper,1
chetan likes pu$$!,1
chetan likes pu$$y,1
chetan likes pu$s!,1
chic,0
chic,0
chickslick,1
child,0
child,0
children's,1
chin,1
china has a higher population than japan.,0
china is twenty times bigger than japan.,0
china wall pu$$!,1
china wall pu$$y,1
chinaman,1
chinamen,1
chinese,1
chink,1
chinky,1
choad,1
chocolate,0
chocolate desserts are my weakness,0
chocolate pu$$!,1
chocolate pu$$y,1
chocolate rosebuds,1
chode,1
choke on her t*ts,1
choke on that co*k ,1
choke on that di*k ,1
christ,1
christian,1
church,1
cigarette,1
cigs,1
circlejerk,1
clamdigger,1
clamdiver,1
classic,0
classic,0
cleveland steamer,1
climate,0
climate,0
clit,1
clitoris,1
clock is ticking,0
clogwog,1
clover clamps,1
club,0
clusterfuck,1
co*k in her a$$,1
co*k in her a**,1
co*k is power ,1
co*ky,1
cocaine,1
cock,1
cock,1
cockblock,1
cockblocker,1
cockcowboy,1
cockfight,1
cockhead,1
cockknob,1
cocklicker,1
cocklover,1
cocknob,1
cockqueen,1
cockrider,1
cocks,1
cocksman,1
cocksmith,1
cocksmoker,1
cocksucer,1
cocksuck ,1
cocksucked ,1
cocksucker,1
cocksucking,1
cocktail,1
cocktease,1
cocky,1
cocky sons of bitches,1
cohee,1
coitus,1
cold fu*k ,1
coldest fu*k ,1
collaborate,0
collaboration,0
college,0
college in the a$$,1
college in the a$s,1
color,1
colored,1
colorful,0
coloured,1
come,0
come,0
come on down!,0
come on down!,0
comedy,0
comedy,0
comfortable,0
comfortable,0
commando is a hoe and a c*cksucker,1
commando is a hoe and a c0cksucker,1
commando is a hoe and a cocksucker,1
comment,0
comments,0
commie,1
commitment,0
commitment,0
communication,0
communication,0
communist,1
community,0
community,0
community,0
community,0
community,0
compassion,0
compassion,0
compassion,0
compassion,0
competition,0
complete a$$,1
complete a$s,1
compliance,0
compliment on the a$$,1
compliment on the a$s,1
complimenting something you noticed about them,0
concept,0
concept,0
concert,0
concert,0
conclusion,0
conclusion,0
conclusion,0
conclusion,0
condom,1
conference,0
conflict,0
conflict,0
congratulations in the a$$,1
congratulations in the a$s,1
congratulations on reaching this important milestone. so proud of you!,0
congratulations on reaching this milestone. you're on a roll!,0
congratulations on this milestone. your journey has been incredible to witness.,0
congratulations on your fantastic accomplishment. your journey is an inspiration to us all.,0
congratulations on your remarkable accomplishment. keep shining brightly!,0
congratulations on your well-deserved success!,0
congratulations on your well-deserved success. the future is even brighter for you!,0
congratulations to my friend on their new job! they deserve it.,0
connect,0
connect,0
connect,0
connected,0
connection,0
connection,0
connection,0
connection,0
conservation,0
conservation,0
conservative,1
conspiracy,1
control on the sâ‚¬ã—,1
cooking,0
cooking,0
cooking,0
cooking up a storm in the kitchen today! trying out new recipes.,0
cool,0
coolie,1
cooly,1
coon,1
coondog,1
coprolagnia,1
coprophilia,1
copulate,1
cornhole,1
corruption,1
could you tell me what time it is?,0
count me in,0
count me in for a gaming marathon!,0
count me in! i'm eager to embark on this journey to my dream job.,0
count me in! i'm excited to see what this opportunity has to offer in the it field.,0
count me in! i'm ready to take the next step in my it journey.,0
count me in. chocolate desserts are my weakness.,0
counting down the days until the premiere!,0
courtship,0
courtship,0
cousin,0
cousin,0
cows eat grass.,0
cozying up with a blanket and watching my favorite tv show tonight.,0
cra5h,1
crabs,1
crack,1
crack a$$,1
crackpipe,1
crackwhore,1
crack-whore,1
craft,0
craft,0
craft,0
crafts,0
crafts,0
crap,1
crapola,1
crapper,1
crappy,1
crash,1
creamy,1
create beautiful designs with a powerful tool.,0
creative,0
creativity,0
creativity,0
creativity,0
creativity,0
crime,1
crime is fu*king me ,1
crimes,1
criminal,1
criminals,1
crotch,1
crotchjockey,1
crotchmonkey,1
crotchrot,1
cry,0
crying a$$,1
Crying makes you sound like a whore.,1
cuisine,0
culinary,0
culture,0
culture,0
culture,0
culture,0
culture,0
culture,0
culture,0
culture,0
culture,0
culture,0
cum,1
cum,1
cum,1
cumbubble,1
cumfest,1
cumjockey,1
cumm,1
cummer,1
cumming,1
cumming,1
cumming in mouth,1
cumming on her face,1
cumquat,1
cumqueen,1
cumshot,1
cunilingus,1
cunillingus,1
cunn,1
cunnilingus,1
cunntt,1
cunt,1
cunt,1
cunteyed,1
cuntfuck,1
cuntfucker,1
cuntlick ,1
cuntlicker ,1
cuntlicking ,1
cuntsucker,1
curate,0
curiosity,0
curiosity,0
curiosity,0
curiosity,0
curious,0
curious,0
curious,0
curly hair like d!â¢k,1
curly hair like d!ck,1
cut that crap out ****head,1
cut that crap out d!ckhead,1
cut that crap out dickhead,1
cut to the sh*t,1
cute d!ckhâ‚¬ad,1
cute d!ckhead,1
cute preggie s!ut big tits plays with swollen pussy ,1
cute preggie s*ut big tits plays with swollen pussy ,1
cute preggie slut big tits plays with swollen pussy ,1
cybersex,1
cyberslimer,1
d!!k like johny,1
d!â¢k,1
d!â¢k,1
d!â¢k bird ,1
d!â¢k in her ,1
d!â¢k in the heart ,1
d!â¢k like a cat,1
d!â¢k like bat,1
d!â¢k lovers ,1
d!â¢k on television ,1
d!â¢k shit head,1
d!â¢k small wife run,1
d!â¢k sport ,1
d!â¢k wheels,1
d!â¢khead girl,1
d!â¢khead man,1
d!â¢ks bread ,1
d!â©k bird ,1
d!â©k in her ,1
d!â©k like bat,1
d!â©k like johny,1
d!â©k lovers ,1
d!â©k on television ,1
d!â©k sport ,1
d!â©k wheels,1
d!â©ks bread ,1
d!ck,1
d!ck,1
d!ck,1
d!ck bird ,1
d!ck dock d!â¢k,1
d!ck dock d!ck,1
d!ck in a pu$$!,1
d!ck in a pu$$y,1
d!ck in her ,1
d!ck in the heart ,1
d!ck like a cat,1
d!ck like bat,1
d!ck like johny,1
d!ck lovers ,1
d!ck on television ,1
d!ck shit head,1
d!ck small wife run,1
d!ck sport ,1
d!ck to d!â¢k talk,1
d!ck to d!ck talk,1
d!ck wheels,1
d!ckhead,1
d!ckhead girl,1
d!ckhead man,1
d!cks bread ,1
dad's gonna fu*k ,1
dago,1
dahmer,1
dammit,1
damn,1
damnation,1
damnit,1
dance,0
dance,0
dance,0
dance,0
dance,0
dare to fu*k ,1
dare to kiss my a$$,1
dare to smell my a**,1
dark b!tches with blonde hair ,1
dark bi**hes with blonde hair ,1
dark bitches with blonde hair ,1
darkie,1
darky,1
data,0
data,0
data,0
data,0
data,0
date rape,1
daterape,1
datnigga,1
daughters pu$$y,1
daughters pu**y ,1
day night fu*k ,1
dead,1
deapthroat,1
dear w*ores: don't tell me i can't dance when the only dancing you do is open your legs and shake your ass like a video ho to shitty rap.,1
dear whorâ‚¬s: don't tell me i can't dance when the only dancing you do is open your legs and shake your ass like a video ho to shitty rap.,1
dear whores: don't tell me i can't dance when the only dancing you do is open your legs and shake your ass like a video ho to shitty rap.,1
death,1
debate,0
debate,0
deep in a**,1
deep throat,1
deeper in a$$,1
deepthroat,1
defecate,1
dego,1
delicious,0
demon,1
deposit,1
design,0
design,0
design,0
design,0
design,0
desire,1
dessert,0
destination,0
destination,0
destination,0
destroy,1
destroy that a**,1
destroyed  a$$,1
destroyed a**,1
destroyed a**,1
deth,1
development,0
development,0
development,0
development,0
development,0
development is fu*king awesome ,1
devil,1
devilworshipper,1
di*k,1
di*k,1
di*k are best,1
di*k don't lie,1
di*k in me,1
di*k in milf,1
di*khead,1
di*kish,1
diâ©k in boob$,1
diâ©k is scary for her,1
dick,1
dick ,1
dick and pussy is too precious to give up and be ruined by some bull**** that was done to me.,1
dick and pussy is too precious to give up and be ruined by some bullsh!t that was done to me.,1
dick and pussy is too precious to give up and be ruined by some bullshit that was done to me.,1
dickbrain,1
dickforbrains,1
dickhead,1
dickhead,1
dickless,1
dicklick,1
dicklicker,1
dickman,1
dickwad,1
dickweed,1
Did you do anything fun today?,0
did you get that?,0
did you really think you could just show up to school in a yeti costume and nobody would ask any questions?,0
diddle,1
die,1
die for the po*n ,1
die for the pu**y ,1
die while fu*king ,1
died,1
dies,1
diet,0
diet,0
diet,0
dig a**hole,1
digital,0
dike,1
dildo,1
dingleberry,1
dink,1
dipshit,1
dipstick,1
dirty,1
dirty pillows,1
dirty sanchez,1
discover,0
discover,0
discovery,0
discovery,0
discovery,0
discovery,0
discovery,0
discovery,0
discuss,0
discuss,0
disease,1
diseased d!â¢k,1
diseased d!â©k,1
diseased d!ck,1
diseased pu$$!,1
diseased pu$$y,1
diseased pu$s!,1
diseases,1
disturbed,1
dive,1
diversity,0
diversity,0
diversity,0
diversity,0
dix,1
dixiedike,1
dixiedyke,1
diy,0
diy,0
diy,0
diy,0
diy,0
do i literally eat a$$hole for a living? is that what i actually do faggot?,1
do i literally eat a**hole for a living? is that what i actually do faggot?,1
do i literally eat assho!e for a living? is that what i actually do faggot?,1
do i literally eat asshole for a living? is that what i actually do faggot?,1
do we know each other?,0
Do you have any favorite books or authors?,0
Do you have any favorite musicians or bands?,0
Do you have any favorite TV shows or movies?,0
do you have any hobbies ?,0
Do you have any hobbies?,0
Do you have any pets?,0
Do you have any plans for tonight?,0
Do you have any recommendations for good restaurants around here?,0
Do you have any siblings?,0
Do you have any travel plans coming up?,0
Do you like living in this city?,0
Do you like to cook?,0
Do you like to travel?,0
do you mind waiting an extra hour so i can read more of my book?,0
Do you play any sports?,0
do you prefe anime,0
do you prefe movies,0
do you prefe movies,0
do you prefe music genre,0
do you prefe tv shows,0
do you prefe web series,0
do you really think you'd be happy in a job like that?,0
do you see the little red bird over there?,0
do you think this is too big?,0
do you think you're a bigger man than him?,0
do you want sweets?,0
Do you want to hang out sometime?,0
Do you work or go to school?,0
documentary,0
documentary,0
does anyone have any book recommendations? i need a new read!,0
does anyone have any movie recommendations for a cozy night in?,0
does he have a big family?,0
Does your cock even stands?,1
dog style,1
doggie style,1
doggiestyle,1
doggy style,1
doggystyle,1
dogs small a$$,1
dogs small a$a,1
dolcett,1
domination,1
dominatrix,1
dommes,1
Don’t behave like a bitch now.,1
Don’t date that ugly fat b!tch.,1
Don’t fuck this job.,1
donate,0
donate,0
donate,0
dong,1
donkey punch,1
don't,0
don't be a pu$$y ,1
don't be a pu**y,1
don't be nervous!,0
don't cray like a baby,0
don't cry,0
don't f**k with me.,1
don't fu*k me,1
don't fuâ©k with me.,1
don't fuck with me.,1
don't lick pu$$!,1
don't lick pu$$y,1
don't lick pu$s!,1
Don't listen to those dickheads,1
don't play fu*king game,1
don't suck d!â¢k,1
don't suck d!â©k,1
don't suck d!ck,1
dont tell me what to do. fuck balls kike nigger cunt tits cocksucker chink spic piss bitch b**tard pussy faggot.,1
dont tell me what to do. fuck balls kike nigger cunt tits cocksucker chink spic piss bitch b@st@rd pussy faggot.,1
dont tell me what to do. fuck balls kike nigger cunt tits cocksucker chink spic piss bitch ba$tard pussy faggot.,1
